mint	gross_pnl_sol	entry_sol
9uxR1BMwprAg7pf14WAnNtzctFtvK46HmNUbPABKpump	1.180353942	10.0
6YWN9vQoKEim4G9tVffpab4vF9ZhUi84MtsdmpFfpump	0.422797826	2.4
BkuHYFVbVcVSzpSCamgV1v6jhFj8VkSgiZs69nCDpump	0.135089555	2.0
6dFocd2JSW7TxzEjct6oXxqJ4PJva9QSNx2QjZcX4xQs	0.091603018	2.0
8XaTo6qNHUHyfqxKzxdUtVpZ9nQNbpT1MWPb9biUpump	0.106180178	1.4
FToii1DHucJwKmnQoTqiWZPyeM2Hv6cJZ165aXcWoUv6	0.121980297	1.3
AD39232qGLe1tzhtamN3WyAjvqJNfJKFTrWoEAdBpump	3.48422322	7.938
9ePQd5TGmZtheSFdW1oXxxCtqYw47dAsVY3gNq6opump	0.963860188	1.2
8ggEECknucFVzKKkovkhsNPC4ek4WMJMfKF2ZpFEpump	0.118254825	8.0
GJCurYbK6Nd15tg7MbspXu9Q5bEEoLjT4zUHvdXopump	0.079830047	2.4
4v71RrXUp8LNmResGWuYEEysQeeQR9LqvPpHVXarpump	1.20146995	5.0
HL4bEARYouskpDjxzxmrEpUv2ZNYjPGpc8zME3Xepump	0.284039679	8.0
H7XTR4EJTRMjfdVCErxunBT88YPhrecrVcb5eRw5pump	0.099527054	1.38915
tNYpc6MQNHUaRoaEquKxdksVExLn97XLD2sjUdapump	0.49092916	3.0
EBy8365XSiSMuHw4spx2R2QstCJqsWDfitNeY4ERpump	4.250665142	9.0
FqzwEq57JkPDnQzS842BmXxpKZubgpJUKMvJn9ppump	0.032044356	1.5
FmtWcDxe3m4kW8UQ6Ry1xXtHCQDciwbWQkb5PoFYpump	0.052865466	2.6
E5VMvskTiTt2MbJXNxWJo2ZzULgURiFsDe3ugwy8pump	0.710927735	1.289925
EMmSNoNL9mVfPTzSfHiYzRhuP9pG2aJukRgjPUMsdtz1	0.185224525	1.1907
449BvxZST3Woh9EZ5bY3vqzepcoi8dC3MQibbxG1pump	0.438418072	1.1907
3KbrgTYHDA3eqgZ3iJakZvzbGARLY92mRrHJ4aKbpump	0.563310167	4.96125
3T1ZsD57VaygwXojgTB4Kd9rt1TsjpbUUum3PYL1WKTY	0.698401866	1.2
Hv9eZLQUiz2dgGHgwpw2ufmrDS9f9WFC8JGpKbE8pump	0.108516677	2.0
GTEm3bcBxv3NrZFo6nG3u8hBuJuJ4mknX5gjPv6Ppump	0.225589904	1.8
FEi5HcRDg9WLSSxwTgzspwGNij3LRWmb6L4Wp9DVpump	0.265902688	1.78605
HW1Fx4SvJyw8MgJiSMP3Pn93NeEfSrHtZ5PR5diWpump	0.02742797	1.2
HxawTkufaqG1hQpQSYuGRMLK5ykNPJAgSs8RawXapump	0.422076063	2.4
GsvqWdoEXnCfBa7j435M2BYtcJNE4ejFJmrwsasMpump	0.868463439	2.97675
AGNLat7QpLzPRRpqBi6CQ4FZpQZd9Nh5W7BStRbhpump	2.778890441	7.938
7U7Bnx5ivHMV3tSpoWxmFNfKLD1reoLALTGPQA3zpump	0.625095884	4.0
DLdoWu2rCLFdLjPwju7xoXQB9jMYaPw9D94ZvK5Tpump	0.008484667	1.5
5rkHPfNMfmZskP1yMN5dsh2Hfc5xUsa41BoARrKNpump	0.010538823	1.2
Fy9myYR57g1iowg9yFLRbV8oWx98UZbQ1BgXGv3gpump	0.296513762	2.4
4y8GVKZuSre5dpPf4yVTUn9bYfhVone5ghM5NaCspump	1.470613519	3.969
6u9jWy7mm7M2JEep7gHizHnPnZAdnXcwQJGGCSBQpump	0.07191688	1.1907
EZm7MzM9DEp7revcF7X3FazYMDugXNyKitJ1p8vVpump	1.366320909	8.0
6bmkBMwrw3mhLgTEtssFjPVyUtvikWKip4kwGuWWpump	0.007715343	2.0
FHWHPzAu9Ae4fZSD6xq6iPkh8zacND5ewEmiTbJrpump	7.863085371	9.0
CnXda1vLpM51dTZNwsdPx5JgdKoWVvTx799Qsq5tpump	0.165351244	1.4
AkaWUdLLyzJzu8DWsK2hv1jCefmjWfL1nWJ71uM6pump	0.971914156	7.0
3o8oRDZsaPEBN3JSCRYw4CK6AjB8oJHZ4e1ouqVepump	1.309058687	3.0
5VG4QtDFrYAkM9PFgSkmeU47ba13fb4bWqfTcPNXpump	1.892551493	3.6
7J5axkcBBP5KDLLaEiB8rskSYQn4uVv8gymRo8TFpump	0.003407969	1.2
AhHDhEKi7UF8fWk2oHRYCAyZFGNSei6C4CeCDtxgpump	0.506617977	2.97675
5e36FQE1TDQFYMnfJSX8cFsqRy2AJsWFu3dUGZ4kpump	0.100450897	1.2
7e1f1bEfekVzchS29RkMJBySAWviQTxDKW29eMUqpump	0.656769805	3.0
2XGw6F4H3dPa5gKhzMMrAFXYr2RMSVzbkFahozcwpump	0.820611504	3.0
Aj1bbWUsz74ZDxL8aEPYXTBWgpwgs9PaMbsRMszBpump	0.023759367	1.3
633E6ejHPyCiXCeSwQe7rTvuPsBvnpjjDRC9FTctpump	0.061499937	1.6
6eKD9nZsTvnCG4PvwZ77USTNW5h8CHDovZaVx4NXpump	0.402732486	2.0
J3hY4jfMkZ2t9vdKsv5aLGpJs5uP7U69r7yfRiAUpump	0.003676189	0.005426047
HE3MS71GfRrGGSWTHwGrTyKyH57CH9TjcRaX6HPNpump	0.59437375	2.4
8HcxhTY12N9u3dmfC7oCpT8Fvt45FSLDoHV9AKQvpump	0.03253254	1.5
AubwFoAEV2Yx5X1XRdVQ1CpN4qCqupFjCQufuHYnpump	4.731375103	5.9535
A4XouCAEhvWzNcBjF8mEdJ6xYpG9N2DvCa8VpAAYpump	2.471887708	2.8
gBK9rfxRnJ4hpkJSrtG3y22LavgwuKgkXS1R9QYpump	8.589360335	20.0
Afqm7K2FVZZkgiZK8aGpNoVjY3YcSFYaHpc8LJripump	1.013029374	2.97675
LXG9n8mop3vt13wBHB4sAND717ADvzC1Uz7jVCapump	0.089478061	1.289925
GXCwBQ4j6viQkX6yTZGZZ5iU5LqHJfL8y8XKG7GPpump	0.399103732	1.38915
